sofifa_id,nationality,club_name,league_name
212612,Austria,SV Ried,Austrian Football Bundesliga
213413,Chile,Leyton Orient,English League Two
213553,England,Tranmere Rovers,English League Two
220023,Saudi Arabia,Al Hazem,Saudi Abdul L. Jameel League
220995,Austria,VfB Lübeck,German 3. Bundesliga
221264,Saudi Arabia,Al Raed,Saudi Abdul L. Jameel League
221270,France,AS Nancy Lorraine,French Ligue 2
221737,Colombia,Club León,Mexican Liga MX
222300,China PR,Qingdao Huanghai F.C.,Chinese Super League
222685,Switzerland,FC Luzern,Swiss Super League
224526,Australia,Swindon Town,English League One
225654,Germany,SV Meppen,German 3. Bundesliga
226006,Republic of Ireland,Derry City,Rep. Ireland Airtricity League
227573,Haiti,Sint-Truidense VV,Belgian Jupiler Pro League
227632,Korea Republic,Pohang Steelers,Korean K League Classic
230865,Argentina,Club Atlético Tigre,Argentinian Primera B Nacional
232256,China PR,Wuhan Zall,Chinese Super League
232367,Japan,Urawa Red Diamonds,Japanese J. League Division 1
232535,Argentina,Club Guaraní,Paraguayan Primera División
232963,Japan,Sagan Tosu,Japanese J. League Division 1
233279,Korea Republic,Sangju Sangmu FC,Korean K League Classic
234534,Ivory Coast,AS Nancy Lorraine,French Ligue 2
237140,Sweden,Östersunds FK,Swedish Allsvenskan
237624,Japan,Kashiwa Reysol,Japanese J. League Division 1
237802,Austria,FC Admira Wacker Mödling,Austrian Football Bundesliga
238043,Saudi Arabia,Al Ittihad,Saudi Abdul L. Jameel League
238238,Germany,SSV Jahn Regensburg,German 2. Bundesliga
247032,Sweden,Mjällby AIF,Swedish Allsvenskan
247078,Germany,FSV Zwickau,German 3. Bundesliga
250932,Poland,Warta Poznań,Polish T-Mobile Ekstraklasa
251045,Moldova,Chindia Târgovişte,Romanian Liga I
251444,Germany,MSV Duisburg,German 3. Bundesliga
254637,Sweden,IK Sirius,Swedish Allsvenskan
254826,Venezuela,Deportivo Pasto,Colombian Liga Postobón
254926,Ecuador,Delfín SC,Ecuadorian Serie A
254927,Uruguay,Club Plaza Colonia,Uruguayan Primera División
255672,Venezuela,Llaneros de Guanare,Venezuelan Primera División
256699,Nigeria,FC Lugano,Swiss Super League
257377,Spain,FC Cartagena,Spanish Segunda División
257799,Romania,UTA Arad,Romanian Liga I
257802,Romania,UTA Arad,Romanian Liga I
201094,England,Burton Albion,English League One
202977,Korea Republic,Suwon Samsung Bluewings,Korean K League Classic
203424,England,Forest Green Rovers,English League Two
204762,Germany,Hallescher FC,German 3. Bundesliga
211618,Austria,FC Admira Wacker Mödling,Austrian Football Bundesliga
211835,Germany,Türkgücü München,German 3. Bundesliga
216235,France,FC Chambly Oise,French Ligue 2
223263,Scotland,Central Coast Mariners,Australian Hyundai A-League
225972,Chile,Audax Italiano,Chilian Campeonato Nacional
228932,France,Falkenbergs FF,Swedish Allsvenskan
230631,Italy,Crotone,Italian Serie A
235700,England,Southend United,English League Two
235985,Uruguay,Sportivo Luqueño,Paraguayan Primera División
242291,Germany,1. FC Magdeburg,German 3. Bundesliga
242894,Iceland,Sandefjord Fotball,Norwegian Eliteserien
246442,Japan,Shimizu S-Pulse,Japanese J. League Division 1
254451,Ecuador,El Nacional,Ecuadorian Serie A
254590,Venezuela,Llaneros de Guanare,Venezuelan Primera División
255428,Bolivia,Nacional Potosí,Liga de Fútbol Profesional Boliviano
257147,United States,VfB Lübeck,German 3. Bundesliga
192316,Norway,Aalesunds FK,Norwegian Eliteserien
198109,Norway,FC Midtjylland,Danish Superliga
200744,England,Northampton Town,English League One
201268,Norway,Sandefjord Fotball,Norwegian Eliteserien
201864,Canada,Sarpsborg 08 FF,Norwegian Eliteserien
202312,Republic of Ireland,Northampton Town,English League One
204495,Germany,SC Verl,German 3. Bundesliga
205267,Mexico,Puebla FC,Mexican Liga MX
206054,Germany,Hallescher FC,German 3. Bundesliga
206332,Republic of Ireland,Cork City,Rep. Ireland Airtricity League
